bytes_sent,mean_cwnd,mean_jitter,mean_loss,mean_s_rtt
2437662.0,213450.750238,1.120505,0.1,79.746356
2629270.0,222777.44614,1.156048,0.089686,81.119114
2623124.0,230909.748748,0.782307,0.087336,79.301821
3173851.0,266749.774011,1.48273,0.211864,83.324013
2720263.0,229622.104326,1.328647,0.041494,82.685413
2698726.0,234381.376429,1.237365,0.221239,81.392599
2528101.0,212832.598499,0.97318,0.0,79.399425
2791112.0,235555.0,1.151646,0.088496,80.889948
2718575.0,234476.181501,1.046512,0.088106,80.840787
3048327.0,276881.232833,1.388889,0.125,82.78905
2598455.0,237111.0322,2.047359,0.087336,85.12204
2571464.0,222630.655382,1.130707,0.190476,79.59803
2826442.0,239189.539808,1.482448,0.128755,82.358236
2938081.0,243740.039548,0.918672,0.081967,80.614938
3238115.0,267474.793769,0.80613,0.037175,79.758621
3586618.0,299313.968254,0.960905,0.03367,81.113169
3193814.0,306740.113971,1.812737,0.074349,85.612585
3976233.0,325332.934974,0.706767,0.0,80.632206
3309692.0,306031.256464,1.105457,0.072727,84.144543
3336234.0,290542.725614,1.235669,0.038023,82.440198
3004938.0,289289.672713,1.949552,0.237154,85.903173
3097502.0,294352.357253,2.277734,0.149813,89.177813
3571202.0,291401.298328,0.664858,0.034602,79.496608
3305450.0,295102.319943,1.491912,0.177305,82.267647
3519676.0,297569.286968,1.288276,0.10453,83.453103
2725859.0,269896.407313,2.065915,0.12766,86.368604
2623106.0,224058.8375,1.086636,0.092166,80.185253
2884815.0,248162.097541,1.20777,0.087719,81.456081
2932076.0,249571.65655,1.022425,0.080645,81.364618
3135370.0,290000.741762,1.346334,0.116732,83.074883
3608252.0,306703.247742,1.270903,0.131148,81.58194
2962672.0,316086.181305,2.290563,0.208333,88.188742
3217841.0,276045.62718,1.674282,0.038911,84.478998
3225029.0,272677.492006,0.988823,0.076336,81.026826
3074987.0,274183.962104,1.1288,0.18797,81.8488
3844822.0,328047.609863,1.06045,0.0,84.070096
3722862.0,341622.017132,1.353675,0.032787,86.583333
3095147.0,278346.482988,1.270479,0.079051,83.545595
3438935.0,297535.482711,1.190306,0.133779,82.562366
3360514.0,314834.013601,1.289359,0.108696,83.554665
3230377.0,351398.284879,3.280715,0.18797,95.397617
3740950.0,367296.452124,1.692057,0.032258,90.593099
2928504.0,335900.124133,3.119048,0.16,96.238889
3360211.0,290778.454798,0.996421,0.035971,80.900501
3570417.0,319810.29926,1.507597,0.037879,84.945442
3330882.0,333251.741453,2.249453,0.132013,90.094821
3926846.0,321300.0,0.618354,0.0,80.541139
3570561.0,335015.657296,1.519723,0.068259,86.83045
3550681.0,382904.18,1.943347,0.100671,93.876812
3098996.0,308861.527735,2.190325,0.07722,89.666138
3858190.0,331125.420698,1.427491,0.031546,85.590164
2951429.0,322730.519078,2.607636,0.327869,89.467912
3969226.0,393831.642857,1.972087,0.0,93.807039
3427624.0,394077.921196,2.709408,0.09772,97.903136
2926425.0,374027.508209,3.935606,0.28,101.753788
3271671.0,331170.272656,2.063352,0.159363,89.861267
3290714.0,347308.912607,2.973799,0.108303,92.320961
3552820.0,377216.133987,2.169673,0.151515,94.685371
3392174.0,339481.774913,2.453295,0.191083,90.722665
3726575.0,348125.167934,2.027469,0.066007,90.388489
3364062.0,368640.163571,2.731278,0.152091,95.373715
2962228.0,324040.388889,2.259554,0.114943,92.480892
2864306.0,343890.660462,2.8065,0.15625,93.045351
3623677.0,349797.298381,2.645967,0.106762,91.890792
3758681.0,388161.270927,1.93467,0.065147,92.348642
3542924.0,422187.248652,2.82069,0.067114,100.452414
3514666.0,419454.441293,3.365475,0.069204,102.667566
3763096.0,439055.931592,2.487682,0.0,99.441567
3523409.0,436155.436997,3.39823,0.126582,104.247788
3365660.0,371019.305278,3.156477,0.143369,99.764192
3573971.0,376191.321869,2.206464,0.067568,94.365435
3309367.0,335833.414119,2.346924,0.036364,93.251297
3605603.0,386185.544554,2.031354,0.069204,94.416278
3676983.0,386345.545866,2.371635,0.031949,95.478661
3478008.0,453170.823288,3.09148,0.105634,102.611034
3554273.0,458701.207733,3.91495,0.074074,109.487708
3114419.0,424170.824855,4.195266,0.103093,107.188609
3478669.0,390446.93454,2.781471,0.111524,97.929279
3293177.0,392015.99076,3.843321,0.10989,101.518412
3394248.0,405737.326147,2.92031,0.212014,99.153032
3231096.0,383352.487787,3.22807,0.076628,99.814327
3102130.0,383914.258902,3.341353,0.104895,102.544361
3823780.0,399531.756791,2.148005,0.065359,95.986486
3491271.0,391382.65529,2.397498,0.068259,96.910354
2965820.0,390144.529041,3.357963,0.114504,102.877331
3775388.0,394386.600557,2.942349,0.067797,98.218505
3188997.0,380572.939016,2.89894,0.212766,99.726502
3492975.0,370325.180966,2.633627,0.037313,96.099119
3359030.0,398182.89959,2.773268,0.103806,99.250525
3322059.0,381501.805054,3.0243,0.15444,102.543446
3473380.0,399622.131737,2.897349,0.098684,97.938817
3766739.0,398682.263871,2.278623,0.068966,96.341496
2387572.0,246459.266005,2.763941,0.227273,90.876394
2652386.0,215103.884135,0.785253,0.045455,79.270046
2831915.0,235562.226734,0.689083,0.044053,79.075109
2722426.0,260800.687122,2.161922,0.393013,87.482206
2918231.0,268273.249194,2.097844,0.207469,84.436982
3293602.0,284216.317143,1.30735,0.10989,82.975501
3395042.0,298738.143253,0.872,0.073801,81.086545
2965477.0,305894.462145,2.203883,0.153257,88.035599
3513918.0,321631.903989,2.071677,0.071685,87.729993
3142290.0,330978.328593,2.081601,0.185874,88.82679
3239974.0,318531.267577,2.124378,0.148699,88.508884
3129817.0,291605.870866,1.602098,0.117188,84.729621
3371942.0,291222.057365,1.298851,0.106007,82.613506
3698163.0,318343.520566,1.400529,0.104895,82.798414
3473478.0,351199.562114,1.563739,0.065574,88.487252
3482504.0,364533.438134,3.002759,0.177936,94.832414
3573703.0,368346.709807,2.40708,0.182482,94.258679
3697668.0,382758.778626,1.826658,0.0,93.390676
3461545.0,385481.276882,2.126809,0.068966,95.303928
3290083.0,314430.052217,2.303273,0.074074,90.945455
